WP_115020492.1	WP_115020492.1
WP_001887822.1	WP_033932197.1
WP_001887822.1	WP_044127768.1
WP_001887822.1	WP_061897693.1
WP_001887822.1	WP_071170523.1
WP_001887822.1	WP_111674258.1
WP_001887822.1	WP_114710692.1
WP_001887822.1	WP_114779162.1
WP_001887822.1	WP_114974879.1
WP_001887822.1	WP_142570046.1
WP_001887822.1	WP_142726912.1
WP_001887822.1	WP_148521792.1
WP_001887822.1	WP_148553438.1
WP_001887822.1	WP_175242828.1
WP_001887822.1	WP_199356963.1
WP_002024147.1	WP_002024147.1
WP_002024147.1	WP_139151556.1
WP_002024147.1	WP_153733827.1
WP_002024147.1	WP_162904356.1
WP_002024147.1	WP_230638926.1
WP_002132498.1	WP_002132498.1
WP_002132498.1	WP_005132979.1
WP_002132498.1	WP_114259162.1
WP_002132498.1	WP_151792544.1
WP_002132498.1	WP_174757869.1
WP_002643638.1	WP_002643638.1
WP_003158581.1	WP_003158581.1
WP_003158581.1	WP_031756412.1
WP_003158581.1	WP_033937900.1
WP_003158581.1	WP_033994914.1
WP_003158581.1	WP_034003998.1
WP_003158581.1	WP_057387076.1
WP_003158581.1	WP_058160782.1
WP_003158581.1	WP_058168089.1
WP_003158581.1	WP_058181142.1
WP_003158581.1	WP_065285030.1
WP_003158581.1	WP_073658524.1
WP_003158581.1	WP_088002817.1
WP_003158581.1	WP_128669589.1
WP_003158581.1	WP_134630257.1
WP_003158581.1	WP_192450421.1
WP_003158581.1	WP_213159306.1
WP_003158581.1	WP_213897236.1
WP_004178409.1	WP_004178409.1
WP_004178409.1	WP_020804796.1
WP_004178409.1	WP_023283168.1
WP_004178409.1	WP_026008374.1
WP_004178409.1	WP_032422938.1
WP_004178409.1	WP_032428948.1
WP_004178409.1	WP_047040207.1
WP_004178409.1	WP_048261936.1
WP_004178409.1	WP_054177055.1
WP_004178409.1	WP_059038734.1
WP_004178409.1	WP_064165298.1
WP_004178409.1	WP_064396527.1
WP_004178409.1	WP_069339386.1
WP_004178409.1	WP_080897664.1
WP_004178409.1	WP_085388883.1
WP_004178409.1	WP_087850013.1
WP_004178409.1	WP_095715646.1
WP_004178409.1	WP_102025985.1
WP_004178409.1	WP_114507701.1
WP_004178409.1	WP_116955757.1
WP_004178409.1	WP_117062789.1
WP_004178409.1	WP_117095834.1
WP_004178409.1	WP_117270131.1
WP_004178409.1	WP_119201173.1
WP_004178409.1	WP_136555980.1
WP_004178409.1	WP_142974884.1
WP_004178409.1	WP_152280254.1
WP_004178409.1	WP_161283515.1
WP_004178409.1	WP_163389606.1
WP_004178409.1	WP_163595958.1
WP_004178409.1	WP_163623092.1
WP_004178409.1	WP_194434703.1
WP_004178409.1	WP_196587784.1
WP_004178409.1	WP_198447315.1
WP_004178409.1	WP_201524451.1
WP_004178409.1	WP_206161462.1
WP_004178409.1	WP_222698174.1
WP_004178409.1	WP_222920618.1
WP_004178409.1	WP_223849135.1
WP_004178409.1	WP_227650103.1
WP_004178409.1	WP_229302988.1
WP_004178409.1	WP_229381718.1
WP_004178409.1	WP_229397280.1
WP_004329628.1	WP_004329628.1
WP_004329628.1	WP_057097983.1
WP_004329628.1	WP_229089911.1
WP_004329628.1	WP_231290544.1
WP_004798978.1	WP_004798978.1
WP_004822987.1	WP_004822987.1
WP_005120035.1	WP_005120035.1
WP_005120035.1	WP_000287123.1
WP_005120035.1	WP_031958161.1
WP_005120035.1	WP_034129597.1
WP_005120035.1	WP_077109009.1
WP_005120035.1	WP_225456360.1
WP_005120035.1	WP_227504041.1
WP_005120035.1	WP_227508412.1
WP_005120035.1	WP_227516804.1
WP_005120035.1	WP_228148305.1
WP_005251380.1	WP_005251380.1
WP_005251380.1	WP_127799112.1
WP_005251380.1	WP_130112411.1
WP_005251380.1	WP_180025319.1
WP_006229067.1	WP_006229067.1
WP_006273266.1	WP_006273266.1
WP_006832459.1	WP_006832459.1
WP_006955672.1	WP_006955672.1
WP_007013435.1	WP_007013435.1
WP_007854298.1	WP_007854298.1
WP_007854298.1	WP_094301104.1
WP_007854298.1	WP_105547849.1
WP_007854298.1	WP_105571555.1
WP_007854298.1	WP_108695949.1
WP_007854298.1	WP_110805180.1
WP_007854298.1	WP_110869081.1
WP_007854298.1	WP_155729636.1
WP_009380616.1	WP_009380616.1
WP_009705985.1	WP_009705985.1
WP_010220502.1	WP_010220502.1
WP_010686556.1	WP_010686556.1
WP_010799252.1	WP_010799252.1
WP_010799252.1	WP_074830128.1
WP_010799252.1	WP_150345611.1
WP_011717027.1	WP_011717027.1
WP_011717027.1	WP_140907620.1
WP_012240800.1	WP_012240800.1
WP_013832756.1	WP_013832756.1
WP_014298734.1	WP_014298734.1
WP_014298734.1	WP_032574156.1
WP_014298734.1	WP_053873786.1
WP_014298734.1	WP_195593902.1
WP_015730129.1	WP_015730129.1
WP_016733900.1	WP_016733900.1
WP_017446217.1	WP_017446217.1
WP_017940171.1	WP_017940171.1
WP_018578529.1	WP_018578529.1
WP_019053885.1	WP_019053885.1
WP_019053885.1	WP_006955899.1
WP_019341975.1	WP_019341975.1
WP_019591938.1	WP_019591938.1
WP_020561145.1	WP_020561145.1
WP_021713456.1	WP_021713456.1
WP_022951994.1	WP_022951994.1
WP_160602231.1	WP_160602231.1
WP_160605795.1	WP_160605795.1
WP_161419732.1	WP_161419732.1
WP_161419732.1	WP_139421627.1
WP_161992777.1	WP_161992777.1
WP_162252285.1	WP_162252285.1
WP_162620429.1	WP_162620429.1
WP_163109783.1	WP_163109783.1
WP_163109783.1	WP_014978952.1
WP_163176584.1	WP_163176584.1
WP_163306081.1	WP_163306081.1
WP_163931411.1	WP_163931411.1
WP_164450407.1	WP_164450407.1
WP_164598136.1	WP_164598136.1
WP_164707986.1	WP_164707986.1
WP_164924409.1	WP_164924409.1
WP_165270684.1	WP_165270684.1
WP_165361489.1	WP_165361489.1
WP_165431676.1	WP_165431676.1
WP_166836096.1	WP_166836096.1
WP_168159842.1	WP_168159842.1
WP_168289377.1	WP_168289377.1
WP_168384519.1	WP_168384519.1
WP_168384519.1	WP_168418594.1
WP_168384519.1	WP_178319144.1
WP_168384519.1	WP_180112085.1
WP_168400306.1	WP_168400306.1
WP_168400306.1	WP_168406036.1
WP_168400306.1	WP_180092356.1
WP_168823195.1	WP_168823195.1
WP_168837910.1	WP_168837910.1
WP_169608569.1	WP_169608569.1
WP_169608569.1	WP_131728028.1
WP_169608569.1	WP_203346093.1
WP_169608569.1	WP_206672998.1
WP_169608569.1	WP_206926111.1
WP_169728650.1	WP_169728650.1
WP_170899064.1	WP_170899064.1
WP_170899064.1	WP_157729210.1
WP_170954416.1	WP_170954416.1
WP_170954416.1	WP_171990439.1
WP_170954416.1	WP_191984974.1
WP_170954416.1	WP_191992842.1
WP_170954416.1	WP_193379163.1
WP_170954416.1	WP_201025948.1
WP_171749690.1	WP_171749690.1
WP_171896129.1	WP_171896129.1
WP_172302679.1	WP_172302679.1
WP_172439428.1	WP_172439428.1
WP_172591334.1	WP_172591334.1
WP_173504146.1	WP_173504146.1
WP_174054670.1	WP_174054670.1
WP_175801014.1	WP_175801014.1
WP_176044615.1	WP_176044615.1
WP_176044615.1	WP_155632079.1
WP_176848254.1	WP_176848254.1
WP_179869555.1	WP_179869555.1
WP_053163410.1	WP_053163410.1
WP_054082672.1	WP_054082672.1
WP_054881351.1	WP_054881351.1
WP_054881351.1	WP_033726462.1
WP_054989543.1	WP_054989543.1
WP_055102825.1	WP_055102825.1
WP_056221135.1	WP_056221135.1
WP_056514009.1	WP_056514009.1
WP_057064097.1	WP_057064097.1
WP_057064097.1	WP_149911677.1
WP_057064097.1	WP_174501026.1
WP_057064097.1	WP_186390411.1
WP_057064097.1	WP_203398536.1
WP_057387768.1	WP_057387768.1
WP_057387768.1	WP_057391568.1
WP_057387768.1	WP_198129008.1
WP_058553414.1	WP_058553414.1
WP_060467778.1	WP_060467778.1
WP_060467778.1	WP_102387684.1
WP_060467778.1	WP_102562025.1
WP_061018136.1	WP_061018136.1
WP_061357052.1	WP_061357052.1
WP_061357052.1	WP_052426757.1
WP_061357052.1	WP_113227833.1
WP_061357052.1	WP_211781148.1
WP_061357052.1	WP_212541291.1
WP_061357052.1	WP_213055110.1
WP_061357052.1	WP_213077528.1
WP_061357052.1	WP_213862322.1
WP_061357052.1	WP_214096614.1
WP_061357052.1	WP_214277128.1
WP_061357052.1	WP_214278882.1
WP_061411153.1	WP_061411153.1
WP_061411153.1	WP_072541416.1
WP_061411153.1	WP_106484874.1
WP_061411153.1	WP_181214291.1
WP_061450560.1	WP_061450560.1
WP_061485474.1	WP_061485474.1
WP_061707818.1	WP_061707818.1
WP_062553163.1	WP_062553163.1
WP_062788643.1	WP_062788643.1
WP_063662834.1	WP_063662834.1
WP_063897410.1	WP_063897410.1
WP_064530234.1	WP_064530234.1
WP_064530234.1	WP_123057960.1
WP_064530234.1	WP_191772790.1
WP_064816698.1	WP_064816698.1
WP_065177183.1	WP_065177183.1
WP_065210009.1	WP_065210009.1
WP_065242863.1	WP_065242863.1
WP_065973889.1	WP_065973889.1
WP_066765192.1	WP_066765192.1
WP_068452204.1	WP_068452204.1
WP_068968550.1	WP_068968550.1
WP_069192883.1	WP_069192883.1
WP_069192883.1	WP_069199568.1
WP_069192883.1	WP_069484279.1
WP_069192883.1	WP_069484482.1
WP_069192883.1	WP_213059838.1
WP_069192883.1	WP_206748797.1
WP_069439576.1	WP_069439576.1
WP_069501043.1	WP_069501043.1
WP_069501043.1	WP_140079441.1
WP_069501043.1	WP_140147250.1
WP_069501043.1	WP_164666877.1
WP_069501043.1	WP_206926129.1
WP_070176831.1	WP_070176831.1
WP_070813807.1	WP_070813807.1
WP_070869277.1	WP_070869277.1
WP_070869277.1	WP_033997861.1
WP_070869277.1	WP_034051723.1
WP_070869277.1	WP_124176301.1
WP_070869277.1	WP_134307613.1
WP_070869277.1	WP_225030496.1
WP_070869277.1	WP_047691021.1
WP_071359103.1	WP_071359103.1
WP_071526338.1	WP_071526338.1
WP_074972442.1	WP_074972442.1
WP_075116992.1	WP_075116992.1
WP_077988310.1	WP_077988310.1
WP_078530787.1	WP_078530787.1
WP_078603563.1	WP_078603563.1
WP_129560366.1	WP_129560366.1
WP_129827322.1	WP_129827322.1
WP_129827322.1	WP_011216449.1
WP_130074975.1	WP_130074975.1
WP_130167726.1	WP_130167726.1
WP_130221731.1	WP_130221731.1
WP_130221731.1	WP_130216625.1
WP_130253298.1	WP_130253298.1
WP_130253298.1	WP_130394407.1
WP_130748111.1	WP_130748111.1
WP_130753822.1	WP_130753822.1
WP_130753822.1	WP_027690980.1
WP_131286358.1	WP_131286358.1
WP_131753306.1	WP_131753306.1
WP_131826262.1	WP_131826262.1
WP_131826262.1	WP_131825081.1
WP_133245641.1	WP_133245641.1
WP_133251657.1	WP_133251657.1
WP_134311116.1	WP_134311116.1
WP_134311116.1	WP_185750598.1
WP_134311116.1	WP_193390145.1
WP_134311116.1	WP_228480171.1
WP_134311116.1	WP_217961347.1
WP_134311116.1	WP_222950885.1
WP_134604851.1	WP_134604851.1
WP_134618634.1	WP_134618634.1
WP_133301053.1	WP_134884679.1
WP_133301053.1	WP_000960569.1
WP_133301053.1	WP_000960570.1
WP_133301053.1	WP_021541550.1
WP_133301053.1	WP_122988699.1
WP_133301053.1	WP_123000933.1
WP_133301053.1	WP_123001776.1
WP_133301053.1	WP_137489478.1
WP_133301053.1	WP_139571938.1
WP_133301053.1	WP_143190843.1
WP_133301053.1	WP_143365334.1
WP_133301053.1	WP_143365885.1
WP_133301053.1	WP_144031187.1
WP_133301053.1	WP_151577583.1
WP_133301053.1	WP_157940368.1
WP_133301053.1	WP_159375941.1
WP_133301053.1	WP_160190191.1
WP_133301053.1	WP_162751355.1
WP_133301053.1	WP_166488805.1
WP_133301053.1	WP_167416209.1
WP_133301053.1	WP_180565978.1
WP_133301053.1	WP_202791790.1
WP_133301053.1	WP_219884059.1
WP_133301053.1	WP_000960571.1
WP_133301053.1	WP_000960572.1
WP_133301053.1	WP_000960576.1
WP_133301053.1	WP_000960581.1
WP_133301053.1	WP_000960582.1
WP_133301053.1	WP_000960583.1
WP_133301053.1	WP_000960584.1
WP_133301053.1	WP_001403929.1
WP_133301053.1	WP_001418358.1
WP_133301053.1	WP_012304922.1
WP_133301053.1	WP_020219139.1
WP_133301053.1	WP_021559652.1
WP_133301053.1	WP_023281478.1
WP_133301053.1	WP_077697078.1
WP_133301053.1	NP_313286.2
WP_133301053.1	WP_122985578.1
WP_133301053.1	WP_122986731.1
WP_133301053.1	WP_122987517.1
WP_133301053.1	WP_122988007.1
WP_133301053.1	WP_122993791.1
WP_133301053.1	WP_122994601.1
WP_133301053.1	WP_122998624.1
WP_133301053.1	WP_123003733.1
WP_133301053.1	WP_123010222.1
WP_133301053.1	WP_123057332.1
WP_133301053.1	WP_123057582.1
WP_133301053.1	WP_123059740.1
WP_133301053.1	WP_124053547.1
WP_133301053.1	WP_125400124.1
WP_133301053.1	WP_126298073.1
WP_133301053.1	WP_126321498.1
WP_133301053.1	WP_129110763.1
WP_133301053.1	WP_129468753.1
WP_133301053.1	WP_130235822.1
WP_133301053.1	WP_130259550.1
WP_133301053.1	WP_133301053.1
WP_133301053.1	WP_136008491.1
WP_133301053.1	WP_136142347.1
WP_133301053.1	WP_136145948.1
WP_133301053.1	WP_136153393.1
WP_133301053.1	WP_136164033.1
WP_133301053.1	WP_136768876.1
WP_133301053.1	WP_137520724.1
WP_133301053.1	WP_137539792.1
WP_133301053.1	WP_137566893.1
WP_133301053.1	WP_138183668.1
WP_133301053.1	WP_139000811.1
WP_133301053.1	WP_139250556.1
WP_133301053.1	WP_139289629.1
WP_133301053.1	WP_139300057.1
WP_133301053.1	WP_139308654.1
WP_133301053.1	WP_140395534.1
WP_133301053.1	WP_140421972.1
WP_133301053.1	WP_140431115.1
WP_133301053.1	WP_140435449.1
WP_133301053.1	WP_140438738.1
WP_133301053.1	WP_140441157.1
WP_133301053.1	WP_141031525.1
WP_133301053.1	WP_141035286.1
WP_133301053.1	WP_141044307.1
WP_133301053.1	WP_141218814.1
WP_133301053.1	WP_143366414.1
WP_133301053.1	WP_143371283.1
WP_133301053.1	WP_143376009.1
WP_133301053.1	WP_143434437.1
WP_133301053.1	WP_148047653.1
WP_133301053.1	WP_148725290.1
WP_133301053.1	WP_148725555.1
WP_133301053.1	WP_148900885.1
WP_133301053.1	WP_148905671.1
WP_133301053.1	WP_148906443.1
WP_133301053.1	WP_148906678.1
WP_133301053.1	WP_149001191.1
WP_133301053.1	WP_149005453.1
WP_133301053.1	WP_149009086.1
WP_133301053.1	WP_150320715.1
WP_133301053.1	WP_150373282.1
WP_133301053.1	WP_152934034.1
WP_133301053.1	WP_157840097.1
WP_133301053.1	WP_160530159.1
WP_133301053.1	WP_162721706.1
WP_133301053.1	WP_162722186.1
WP_133301053.1	WP_162753568.1
WP_133301053.1	WP_162754639.1
WP_133301053.1	WP_162756021.1
WP_133301053.1	WP_162821074.1
WP_133301053.1	WP_162825811.1
WP_133301053.1	WP_171459895.1
WP_133301053.1	WP_171880454.1
WP_133301053.1	WP_173002701.1
WP_133301053.1	WP_175417556.1
WP_133301053.1	WP_179143183.1
WP_133301053.1	WP_179144447.1
WP_133301053.1	WP_180193095.1
WP_133301053.1	WP_181811953.1
WP_133301053.1	WP_182212051.1
WP_133301053.1	WP_182226722.1
WP_133301053.1	WP_187208221.1
WP_133301053.1	WP_191113438.1
WP_133301053.1	WP_193115263.1
WP_133301053.1	WP_203369851.1
WP_133301053.1	WP_205933835.1
WP_133301053.1	WP_208782438.1
WP_133301053.1	WP_213046419.1
WP_133301053.1	WP_214674579.1
WP_133301053.1	WP_217824493.1
WP_133301053.1	WP_218069436.1
WP_133301053.1	WP_218072489.1
WP_133301053.1	WP_219269675.1
WP_133301053.1	WP_220415748.1
WP_133301053.1	WP_222656730.1
WP_133301053.1	WP_226235013.1
WP_133301053.1	WP_228932098.1
WP_133301053.1	WP_229986575.1
WP_133301053.1	WP_001586615.1
WP_133301053.1	WP_122995544.1
WP_133301053.1	WP_130521850.1
WP_133301053.1	WP_140436675.1
WP_133301053.1	WP_162753146.1
WP_133301053.1	WP_162754948.1
WP_133301053.1	WP_191027537.1
WP_133301053.1	WP_202792821.1
WP_133301053.1	WP_220418013.1
WP_135459155.1	WP_135459155.1
WP_136038945.1	WP_136038945.1
WP_136165054.1	WP_136165054.1
WP_136406124.1	WP_136406124.1
WP_136700774.1	WP_136700774.1
WP_136985371.1	WP_136985371.1
WP_136985371.1	WP_210447808.1
WP_136985371.1	WP_210467758.1
WP_137375336.1	WP_137375336.1
WP_138441206.1	WP_138441206.1
WP_138489269.1	WP_138489269.1
WP_138489269.1	WP_058548926.1
WP_138552845.1	WP_138552845.1
WP_139167254.1	WP_139167254.1
WP_139169564.1	WP_139169564.1
WP_139260237.1	WP_139260237.1
WP_139294786.1	WP_139294786.1
WP_140122557.1	WP_140122557.1
