RefseqID	Contig	TreeRepresentative	ProteinID	Taxid	Protein	PADLOC_HMM	Start	End	Strand	Name	Strain	AssemblyStatus	Group name	Domain/Realm name	Kingdom name	Phylum name	Class name	Order name	Family name	Genus name	Species name	representative_genome	Cluster	plasmid_score	virus_score	GEI
GCF_000019645.1	NC_010498.1	WP_020219138.1	WP_000383119.1	562	DruE3	DruE3_00003	4916328	4922642	+	Escherichia coli SMS-3-5	strain=SMS-3-5	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000019645.1	NC_010498.1	WP_133301053.1	WP_000960569.1	562	DruH3	DruH3_00004	4912969	4916328	+	Escherichia coli SMS-3-5	strain=SMS-3-5	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000021125.1	NC_011353.1	WP_020219138.1	WP_000383117.1	562	DruE3	DruE3_00003	5440891	5447205	+	Escherichia coli O157:H7 str. EC4115	strain=EC4115	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000021125.1	NC_011353.1	WP_133301053.1	WP_000960581.1	562	DruH3	DruH3_00004	5437532	5440891	+	Escherichia coli O157:H7 str. EC4115	strain=EC4115	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000022225.1	NC_013008.1	WP_020219138.1	WP_000383117.1	562	DruE3	DruE3_00003	5396952	5403266	+	Escherichia coli O157:H7 str. TW14359	strain=TW14359	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000022225.1	NC_013008.1	WP_133301053.1	WP_000960581.1	562	DruH3	DruH3_00004	5393593	5396952	+	Escherichia coli O157:H7 str. TW14359	strain=TW14359	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000024645.1	NC_013421.1	WP_015730129.1	WP_015730129.1	1905730	DruH3	DruH3_00012	1825353	1828646	-	Pectobacterium parmentieri WPP163	strain=WPP163	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium	Pectobacterium parmentieri	NA	2	NA	NA	NA
GCF_000024645.1	NC_013421.1	WP_206555063.1	WP_015730128.1	1905730	DruE3	DruE3_00003	1819036	1825350	-	Pectobacterium parmentieri WPP163	strain=WPP163	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Pectobacterium	Pectobacterium parmentieri	NA	2	NA	NA	NA
GCF_000025165.1	NC_013941.1	WP_020219138.1	WP_000383112.1	562	DruE3	DruE3_00003	5205508	5211822	+	Escherichia coli O55:H7 str. CB9615	strain=CB9615	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000025165.1	NC_013941.1	WP_133301053.1	WP_000960581.1	562	DruH3	DruH3_00004	5202149	5205508	+	Escherichia coli O55:H7 str. CB9615	strain=CB9615	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000026225.1	NC_011740.1	WP_000213430.1	WP_000213430.1	564	DruE3	DruE3_00003	3162768	3169109	-	Escherichia fergusonii ATCC 35469	strain=ATCC 35469T	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia fergusonii	NA	2	NA	NA	NA
GCF_000026225.1	NC_011740.1	WP_001513100.1	WP_048814575.1	564	DruH3	DruH3_00012	3169122	3172412	-	Escherichia fergusonii ATCC 35469	strain=ATCC 35469T	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia fergusonii	NA	2	NA	NA	NA
GCF_000026325.1	NC_011751.1	WP_000213430.1	WP_000213431.1	562	DruE3	DruE3_00003	5115076	5121420	+	Escherichia coli UMN026	strain=UMN026	Chromosome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	2	NA	NA	NA
GCF_000026325.1	NC_011751.1	WP_001513100.1	WP_001513100.1	562	DruH3	DruH3_00012	5111773	5115063	+	Escherichia coli UMN026	strain=UMN026	Chromosome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	2	NA	NA	NA
GCF_000026565.1	NC_011147.1	WP_000083328.1	WP_000083328.1	28901	DruH3	DruH3_00012	4483896	4487195	-	Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601	strain=AKU_12601	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	NA	2	NA	NA	NA
GCF_000026565.1	NC_011147.1	WP_000213428.1	WP_000213429.1	28901	DruE3	DruE3_00003	4477563	4483883	-	Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601	strain=AKU_12601	Complete Genome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	NA	2	NA	NA	NA
GCF_000048665.1	NC_006369.1	WP_011216450.1	WP_011216450.1	446	DruE3	DruE3_00003	2839769	2846089	+	Legionella pneumophila str. Lens	strain=Lens	Complete Genome	g-proteobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila	NA	9	NA	NA	NA
GCF_000048665.1	NC_006369.1	WP_129827322.1	WP_011216449.1	446	DruH3	DruH3_00012	2836365	2839757	+	Legionella pneumophila str. Lens	strain=Lens	Complete Genome	g-proteobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	Legionella pneumophila	NA	9	NA	NA	NA
GCF_000061505.1	NC_008702.1	WP_148268833.1	WP_148268833.1	418699	DruE3	DruE3_00003	2531834	2537752	+	Azoarcus olearius	strain=BH72	Complete Genome	b-proteobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus	Azoarcus olearius	Y	9	NA	NA	GEI
GCF_000061505.1	NC_008702.1	WP_158309404.1	WP_158309404.1	418699	DruH3	DruH3_00011	2528007	2531426	+	Azoarcus olearius	strain=BH72	Complete Genome	b-proteobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus	Azoarcus olearius	Y	9	NA	NA	GEI
GCF_000067165.1	NC_010162.1	WP_012240800.1	WP_012240800.1	56	DruH3	DruH3_00012	11387949	11391407	+	Sorangium cellulosum So ce56	strain=So ce 56	Complete Genome	bacteria	Bacteria	Pseudomonadati	Myxococcota	NA	Polyangiales	Polyangiaceae	Sorangium	Sorangium cellulosum	Y	15	NA	NA	NA
GCF_000067165.1	NC_010162.1	WP_012240801.1	WP_012240801.1	56	DruE3	DruE3_00003	11391391	11397690	+	Sorangium cellulosum So ce56	strain=So ce 56	Complete Genome	bacteria	Bacteria	Pseudomonadati	Myxococcota	NA	Polyangiales	Polyangiaceae	Sorangium	Sorangium cellulosum	Y	15	NA	NA	NA
GCF_000091465.1	NC_011753.2	WP_123422834.1	WP_012603857.1	693153	DruE3	DruE3_00003	1501868	1508125	+	Vibrio atlanticus	strain=LGP32	Complete Genome	g-proteobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio atlanticus	NA	3	NA	NA	NA
GCF_000091465.1	NC_011753.2	WP_123422835.1	WP_012603856.1	693153	DruH3	DruH3_00012	1498484	1501858	+	Vibrio atlanticus	strain=LGP32	Complete Genome	g-proteobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio atlanticus	NA	3	NA	NA	NA
GCF_000152465.2	NZ_KQ257379.1	WP_001887822.1	WP_001887822.1	666	DruH3	DruH3_00010	12538	15894	+	Vibrio cholerae V51	strain=V51	Scaffold	g-proteobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae	NA	10	NA	NA	NA
GCF_000152465.2	NZ_KQ257379.1	WP_142570044.1	WP_032473011.1	666	DruE3	DruE3_00003	15908	22114	+	Vibrio cholerae V51	strain=V51	Scaffold	g-proteobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio cholerae	NA	10	NA	NA	NA
GCF_000152885.1	NZ_CH672405.1	WP_006955671.1	WP_006955671.1	190892	DruE3	DruE3_00003	307409	313708	-	Idiomarina baltica OS145	strain=OS145	Scaffold	g-proteobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	Idiomarina baltica	Y	6	NA	NA	NA
GCF_000152885.1	NZ_CH672405.1	WP_006955672.1	WP_006955672.1	190892	DruH3	DruH3_00013	313718	317059	-	Idiomarina baltica OS145	strain=OS145	Scaffold	g-proteobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina	Idiomarina baltica	Y	6	NA	NA	NA
GCF_000153425.1	NZ_CH724134.1	WP_006229067.1	WP_006229067.1	74109	DruH3	DruH3_00010	716356	719730	+	Photobacterium profundum 3TCK	strain=3TCK	Scaffold	g-proteobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium profundum	NA	10	NA	NA	NA
GCF_000153425.1	NZ_CH724134.1	WP_006229068.1	WP_006229068.1	74109	DruE3	DruE3_00003	719748	725945	+	Photobacterium profundum 3TCK	strain=3TCK	Scaffold	g-proteobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Photobacterium	Photobacterium profundum	NA	10	NA	NA	NA
GCF_000153725.1	NZ_DS022276.1	WP_007798469.1	WP_007798469.1	344736	DruE3	DruE3_00003	2465108	2471119	-	Salipiger bermudensis HTCC2601	strain=HTCC2601	Scaffold	a-proteobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Salipiger	Salipiger bermudensis	Y	14	NA	NA	GEI
GCF_000153725.1	NZ_DS022276.1	WP_144266904.1	WP_144266904.1	344736	DruH3	DruH3_00002	2471124	2474438	-	Salipiger bermudensis HTCC2601	strain=HTCC2601	Scaffold	a-proteobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Salipiger	Salipiger bermudensis	Y	14	NA	NA	GEI
GCF_000154465.1	NZ_DS499580.1	WP_004329627.1	WP_231290543.1	28117	DruE3	DruE3_00002	88763	94900	-	Alistipes putredinis DSM 17216	strain=DSM 17216	Scaffold	CFB group bacteria	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes putredinis	NA	13	NA	NA	NA
GCF_000154465.1	NZ_DS499580.1	WP_004329628.1	WP_231290544.1	28117	DruH3	DruH3_00008	94903	98016	-	Alistipes putredinis DSM 17216	strain=DSM 17216	Scaffold	CFB group bacteria	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes putredinis	NA	13	NA	NA	NA
GCF_000154525.1	NZ_DS499662.1	WP_004329627.1	WP_005652120.1	46506	DruE3	DruE3_00002	260556	266699	+	Bacteroides stercoris ATCC 43183	strain=ATCC 43183	Scaffold	CFB group bacteria	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercoris	NA	13	NA	NA	NA
GCF_000154525.1	NZ_DS499662.1	WP_004329628.1	WP_004329628.1	46506	DruH3	DruH3_00008	257362	260559	+	Bacteroides stercoris ATCC 43183	strain=ATCC 43183	Scaffold	CFB group bacteria	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides stercoris	NA	13	NA	NA	NA
GCF_000155125.1	NZ_CM000662.1	WP_020219138.1	WP_000383109.1	562	DruE3	DruE3_00003	1424935	1431249	-	Escherichia coli O157:H7 str. TW14588	strain=TW14588	Chromosome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000155125.1	NZ_CM000662.1	WP_133301053.1	WP_000960581.1	562	DruH3	DruH3_00004	1431249	1434608	-	Escherichia coli O157:H7 str. TW14588	strain=TW14588	Chromosome	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000163215.1	NZ_GG774899.1	WP_000213430.1	WP_000213431.1	562	DruE3	DruE3_00003	395398	401742	+	Escherichia coli FVEC1302	strain=FVEC1302	Scaffold	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	2	NA	NA	NA
GCF_000163215.1	NZ_GG774899.1	WP_001513100.1	WP_001513100.1	562	DruH3	DruH3_00012	392095	395385	+	Escherichia coli FVEC1302	strain=FVEC1302	Scaffold	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	2	NA	NA	NA
GCF_000163235.1	NZ_GG749206.1	WP_000213430.1	WP_000213431.1	562	DruE3	DruE3_00003	396607	402951	+	Escherichia coli FVEC1412	strain=FVEC1412	Scaffold	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	2	NA	NA	NA
GCF_000163235.1	NZ_GG749206.1	WP_001513100.1	WP_001513100.1	562	DruH3	DruH3_00012	393304	396594	+	Escherichia coli FVEC1412	strain=FVEC1412	Scaffold	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	2	NA	NA	NA
GCF_000164195.1	NZ_GG771459.1	WP_000213430.1	WP_000213431.1	562	DruE3	DruE3_00003	25957	32301	+	Escherichia coli MS 198-1	strain=MS 198-1	Scaffold	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	2	NA	NA	NA
GCF_000164195.1	NZ_GG771459.1	WP_001513100.1	WP_001513100.1	562	DruH3	DruH3_00012	22654	25944	+	Escherichia coli MS 198-1	strain=MS 198-1	Scaffold	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	2	NA	NA	NA
GCF_000164275.1	NZ_GG772126.1	WP_000213430.1	WP_000213431.1	562	DruE3	DruE3_00003	33739	40083	+	Escherichia coli MS 146-1	strain=MS 146-1	Scaffold	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	2	NA	NA	NA
GCF_000164275.1	NZ_GG772126.1	WP_001513100.1	WP_001513100.1	562	DruH3	DruH3_00012	30436	33726	+	Escherichia coli MS 146-1	strain=MS 146-1	Scaffold	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	2	NA	NA	NA
GCF_000164335.1	NZ_GG772497.1	WP_020219138.1	WP_000383104.1	562	DruE3	DruE3_00003	10376	16690	+	Escherichia coli MS 187-1	strain=MS 187-1	Scaffold	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000164335.1	NZ_GG772497.1	WP_133301053.1	WP_000960582.1	562	DruH3	DruH3_00004	7017	10376	+	Escherichia coli MS 187-1	strain=MS 187-1	Scaffold	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000166555.1	NZ_AELB01000036.1	WP_024254397.1	WP_000213435.1	562	DruE3	DruE3_00003	90217	96561	-	Escherichia coli TW10722	strain=TW10722	Contig	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	2	NA	NA	NA
GCF_000166555.1	NZ_AELB01000036.1	WP_214018013.1	WP_096847600.1	562	DruH3	DruH3_00005	96574	98184	-	Escherichia coli TW10722	strain=TW10722	Contig	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	2	NA	NA	NA
GCF_000166615.1	NZ_AELE01000029.1	WP_020219138.1	WP_000383118.1	562	DruE3	DruE3_00003	11060	17383	+	Escherichia coli TW14425	strain=TW14425	Contig	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000166615.1	NZ_AELE01000029.1	WP_133301053.1	WP_122993791.1	562	DruH3	DruH3_00004	7701	11060	+	Escherichia coli TW14425	strain=TW14425	Contig	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000171495.1	NZ_ABFF01000010.1	WP_000213428.1	WP_000213428.1	28901	DruE3	DruE3_00003	63872	70192	+	Salmonella enterica subsp. enterica serovar Weltevreden str. HI_N05-537	strain=HI_N05-537	Contig	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	NA	2	NA	NA	NA
GCF_000171495.1	NZ_ABFF01000010.1	WP_001534450.1	WP_001534450.1	28901	DruH3	DruH3_00006	63002	63859	+	Salmonella enterica subsp. enterica serovar Weltevreden str. HI_N05-537	strain=HI_N05-537	Contig	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	NA	2	NA	NA	NA
GCF_000171915.1	NZ_ABHO01000006.1	WP_020219138.1	WP_000383117.1	562	DruE3	DruE3_00003	82700	89014	-	Escherichia coli O157:H7 str. EC4196	strain=EC4196	Contig	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000171915.1	NZ_ABHO01000006.1	WP_133301053.1	WP_000960581.1	562	DruH3	DruH3_00004	89014	92373	-	Escherichia coli O157:H7 str. EC4196	strain=EC4196	Contig	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000171955.1	NZ_ABHQ01000017.1	WP_020219138.1	WP_000383117.1	562	DruE3	DruE3_00003	78276	84590	+	Escherichia coli O157:H7 str. EC4076	strain=EC4076	Contig	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000171955.1	NZ_ABHQ01000017.1	WP_133301053.1	WP_000960581.1	562	DruH3	DruH3_00004	74917	78276	+	Escherichia coli O157:H7 str. EC4076	strain=EC4076	Contig	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000171975.1	NZ_ABHR01000005.1	WP_020219138.1	WP_000383117.1	562	DruE3	DruE3_00003	117959	124273	+	Escherichia coli O157:H7 str. EC4401	strain=EC4401	Contig	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000171975.1	NZ_ABHR01000005.1	WP_133301053.1	WP_000960581.1	562	DruH3	DruH3_00004	114600	117959	+	Escherichia coli O157:H7 str. EC4401	strain=EC4401	Contig	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000171995.1	NZ_ABHS01000002.1	WP_020219138.1	WP_000383117.1	562	DruE3	DruE3_00003	316619	322933	+	Escherichia coli O157:H7 str. EC4486	strain=EC4486	Contig	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000171995.1	NZ_ABHS01000002.1	WP_133301053.1	WP_000960581.1	562	DruH3	DruH3_00004	313260	316619	+	Escherichia coli O157:H7 str. EC4486	strain=EC4486	Contig	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000172055.1	NZ_ABHW01000003.1	WP_020219138.1	WP_000383115.1	562	DruE3	DruE3_00003	83004	89318	+	Escherichia coli O157:H7 str. EC508	strain=EC508	Contig	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
GCF_000172055.1	NZ_ABHW01000003.1	WP_133301053.1	WP_000960581.1	562	DruH3	DruH3_00004	79645	83004	+	Escherichia coli O157:H7 str. EC508	strain=EC508	Contig	enterobacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	NA	11	NA	NA	NA
