Tree_representative	GenomeID	ContigID	ProteinID	gene_type	gene	start	end	strand	HMM_Annot_IDs	product_description	PlotLabel	fill	Cluster
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_001654330.1	CDS	NA	387174	387635	-	PF03625	DUF302 domain-containing protein	PF03625	NA	2
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_000556769.1	CDS	NA	387840	388751	-	PF18863	STM4504/CBY_0614 family protein	PF18863	NA	2
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_000864865.1	CDS	NA	389105	389713	-	PF06353	DUF1062 domain-containing protein	PF06353	NA	2
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_001054380.1	CDS	NA	390202	390459	+	PF09857	YjhX family toxin	PF09857	NA	2
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_000979791.1	CDS	NA	390464	392095	+	PF13649	methyltransferase domain-containing protein	PF13649	NA	2
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_000532937.1	CDS	NA	392716	393432	+	PF01709;PF20772	YebC/PmpR family DNA-binding transcriptional regulator	PF01709;PF20772	NA	2
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_000199885.1	CDS	NA	393912	394787	-	PF13391	HNH	HNH	RM_type_HNH	2
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_000422448.1	CDS	NA	394865	395059	-	NA	hypothetical protein	hypothetical protein	NA	2
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_057515025.1	CDS	NA	395369	398668	+	NA	DruH3	DruH3	druantia_type_III	2
WP_000213428.1	GCF_001410395.1	NZ_CZOD01000001.1	WP_000213428.1	CDS	NA	398681	405001	+	PF00270;PF00271;PF09369	DruE3	DruE3	druantia_type_III	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_001285750.1	CDS	hpaX	401353	402729	+	PF07690	4-hydroxyphenylacetate permease	hpaX	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_000332908.1	CDS	hpaA	402739	403629	+	PF07883;PF12833	4-hydroxyphenylacetate catabolism regulatory protein HpaA	hpaA	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_000801473.1	CDS	hpaB	403880	405442	+	PF03241;PF11794;K00483;TIGR02310;COG2368;PF03241;PF11794;K21184;TIGR02310;COG2368;PF03241;PF11794;K24293;TIGR02310;COG2368;PF11794;PF03241;K14534;TIGR02310;COG2368	4-hydroxyphenylacetate 3-monooxygenase, oxygenase component	hpaB	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_001175455.1	CDS	NA	405460	405972	+	PF01613;K09024;TIGR03615;COG1853;PF01613;K21185;TIGR03615;COG1853	pyrimidine utilization flavin reductase protein F	PF01613	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_001314407.1	CDS	btsT	406242	408392	+	COG1966;PF13722	5TM C-terminal transporter carbon starvation CstA;Carbon starvation protein CstA	btsT	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_000467859.1	CDS	NA	408442	408645	+	PF04328	YbdD/YjiX family protein	PF04328	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_001297640.1	CDS	yjiA	408656	409612	+	PF02492;PF07683	GTPase	yjiA	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_000063150.1	CDS	NA	409646	409948	-	PF14384	BrnA antitoxin family protein	PF14384	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_024256534.1	CDS	NA	409935	410222	-	PF04365	BrnT family toxin	PF04365	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_000208601.1	CDS	NA	410378	411112	-	NA	Fic family protein	Fic family protein	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_000981386.1	CDS	hsdR	411375	414887	+	PF00271;PF04313;PF04851;PF08463	REase_I	REase_I	RM_type_I	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_001063202.1	CDS	hsdM	414964	416553	+	PF02384;PF12161	MTase_I	MTase_I	RM_type_I	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_001272443.1	CDS	NA	416550	418058	+	PF01420	Specificity_I	Specificity_I	RM_type_I	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_000132635.1	CDS	symE	418286	418627	+	PF08845	endoribonuclease SymE	symE	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_015953743.1	CDS	mcrB	418789	420168	+	PF07728;PF12102	RM_Type_IV__FAM_1	RM_Type_IV__FAM_1	RM_Type_IV	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_015953744.1	CDS	mcrC	420168	421214	+	PF10117	RM_Type_IV__FAM_2	RM_Type_IV__FAM_2	RM_Type_IV	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_000213430.1	CDS	NA	421271	427612	-	PF00270;PF00271;PF09369	DruE3	DruE3	druantia_type_III	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_048814575.1	CDS	yjiT	427625	430915	-	NA	DruH3	DruH3	druantia_type_III	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_000394281.1	CDS	NA	431414	431578	-	PF06568	DUF1127 domain-containing protein	PF06568	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_000199360.1	CDS	NA	431755	433167	+	PF00155;PF00392	PLP-dependent aminotransferase family protein	PF00155;PF00392	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_000181200.1	CDS	NA	433411	434331	-	PF04754	Rpn family recombination-promoting nuclease/putative transposase	PF04754	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_001136993.1	CDS	mdtM	434810	436042	+	PF07690	multidrug efflux MFS transporter MdtM	mdtM	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_001037412.1	CDS	NA	436083	437363	+	COG2733;PF04286;COG2733	Uncharacterized membrane-anchored protein YjiN, DUF445 family	PF04286	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_224219347.1	CDS	NA	438017	438193	+	NA	hypothetical protein	hypothetical protein	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	I6H89_RS02145	CDS	NA	438280	438426	-	NA	IS256 family transposase	IS256 family transposase	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_001022621.1	CDS	NA	438647	440116	-	PF00069	serine/threonine-protein kinase	PF00069	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_001115387.1	CDS	NA	440113	440655	-	NA	hypothetical protein	hypothetical protein	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_000323669.1	CDS	NA	440663	442348	-	PF01935;PF09378	helicase HerA domain-containing protein	PF01935;PF09378	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_001004902.1	CDS	NA	442338	443495	-	NA	hypothetical protein	hypothetical protein	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_000061128.1	CDS	NA	443498	444346	-	NA	hypothetical protein	hypothetical protein	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_000007260.1	CDS	NA	444357	448643	-	NA	hypothetical protein	hypothetical protein	NA	2
WP_000213430.1	GCF_016128235.1	NZ_CP066085.1	WP_000377424.1	CDS	NA	448640	449926	-	NA	hypothetical protein	hypothetical protein	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_000208176.1	CDS	uxuB	49609	51069	+	PF01232;PF08125	fructuronate reductase	uxuB	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_000833679.1	CDS	uxuR	51284	52057	+	PF00392;PF07729	Uxu operon transcriptional regulator	uxuR	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_000062552.1	CDS	yjiC	52198	53028	-	PF10887	YjfZ/YjiC family protein	yjiC	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_001301448.1	CDS	ytiD	53362	53505	+	NA	protein YtiD	ytiD	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_120795393.1	CDS	idlP	53621	53704	+	NA	iraD leader peptide IdlP	idlP	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_001309187.1	CDS	iraD	53701	54093	+	PF04965	anti-adapter protein IraD	iraD	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_000340740.1	CDS	hypT	54086	54997	-	PF00126;PF03466	hypochlorite stress DNA-binding transcriptional regulator HypT	hypT	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_001472882.1	CDS	iadA	55062	56234	-	PF12890;K01305;TIGR01975;COG0402	isoaspartyl dipeptidase IadA	iadA	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_000211971.1	CDS	yjiG	56247	56708	-	COG0700;K06374	Spore maturation protein SpmB (function unknown)	yjiG	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_001295597.1	CDS	yjiH	56705	57388	-	PF07670	nucleoside recognition domain-containing protein	yjiH	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_001151855.1	CDS	kptA	57638	58192	+	PF01885	RNA 2'-phosphotransferase	kptA	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_001141220.1	CDS	yjiJ	58205	59383	-	COG0738;K08153;COG2223;K18553	Fucose permease;Nitrate/nitrite transporter NarK	yjiJ	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_001318795.1	CDS	yjiK	59451	60311	-	PF06977	SdiA-regulated domain-containing protein	yjiK	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_000657675.1	CDS	ytiA	60376	60633	-	PF11823	DUF3343 domain-containing protein	ytiA	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_000331745.1	CDS	yjiL	60630	61397	-	PF01869	putative 2-hydroxyacyl-CoA dehydratase activator YjiL	yjiL	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_001300012.1	CDS	yjiM	61407	62558	-	PF06050;K04112;TIGR03190;COG1775;PF06050;K20026;TIGR02263;COG1775;PF06050;K23111;TIGR02263;COG1775;PF06050;TIGR02263;K04112;COG1775;PF06050;TIGR03190;COG1775;K04112	benzoyl-CoA reductase, bzd-type, N subunit;benzoyl-CoA reductase, subunit C	yjiM	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_001037419.1	CDS	yjiN	62674	63954	-	COG2733;PF04286;COG2733	Uncharacterized membrane-anchored protein YjiN, DUF445 family	yjiN	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_001137036.1	CDS	mdtM	63995	65227	-	PF07690	multidrug efflux MFS transporter MdtM	mdtM	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_000181202.1	CDS	NA	65706	66626	+	PF04754	Rpn family recombination-promoting nuclease/putative transposase	PF04754	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_096305858.1	CDS	yjiR	66870	68282	-	PF00155;PF00392	PLP-dependent aminotransferase family protein	yjiR	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_000397910.1	CDS	yjiS	68459	68623	+	PF06568	DUF1127 domain-containing protein	yjiS	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_001556397.1	CDS	yjiT	69121	72411	+	NA	DruH3	DruH3	druantia_type_III	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_001472887.1	CDS	NA	72424	78768	+	PF00270;PF00271;PF09369	DruE3	DruE3	druantia_type_III	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_001318550.1	CDS	mcrC	78825	79871	-	PF10117	RM_Type_IV__FAM_2	RM_Type_IV__FAM_2	RM_Type_IV	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_000443948.1	CDS	mcrB	79871	81250	-	PF07728;PF12102	RM_Type_IV__FAM_1	RM_Type_IV__FAM_1	RM_Type_IV	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	KD750_RS22120	CDS	symE	81412	81753	-	NA	endoribonuclease SymE	symE	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_000009567.1	CDS	NA	81981	83405	-	PF01420	Specificity_I	Specificity_I	RM_type_I	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_001063206.1	CDS	hsdM	83402	84991	-	PF02384;PF12161	MTase_I	MTase_I	RM_type_I	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_000981380.1	CDS	hsdR	85192	88704	-	PF00271;PF04313;PF04851;PF08463	REase_I	REase_I	RM_type_I	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_000217934.1	CDS	mrr	88892	89806	+	PF04471;PF14338	mREase_IV	mREase_IV	RM_type_IV	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_001297640.1	CDS	yjiA	89852	90808	-	PF02492;PF07683	GTPase	yjiA	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_000467859.1	CDS	yjiX	90819	91022	-	PF04328	YbdD/YjiX family protein	yjiX	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_001298933.1	CDS	btsT	91072	93222	-	COG1966;PF13722	5TM C-terminal transporter carbon starvation CstA;Carbon starvation protein CstA	btsT	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_001175455.1	CDS	NA	93615	94127	-	PF01613;K09024;TIGR03615;COG1853;PF01613;K21185;TIGR03615;COG1853	pyrimidine utilization flavin reductase protein F	PF01613	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_000801472.1	CDS	hpaB	94145	95707	-	PF03241;PF11794;K00483;TIGR02310;COG2368;PF03241;PF11794;K21184;TIGR02310;COG2368;PF03241;PF11794;K24293;TIGR02310;COG2368;PF11794;PF03241;K14534;TIGR02310;COG2368	4-hydroxyphenylacetate 3-monooxygenase, oxygenase component	hpaB	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_000332891.1	CDS	hpaA	95958	96848	-	PF07883;PF12833	4-hydroxyphenylacetate catabolism regulatory protein HpaA	hpaA	NA	2
WP_001472887.1	GCF_020381605.1	NZ_JAGTIA010000035.1	WP_001285764.1	CDS	hpaX	96858	98234	-	PF07690	4-hydroxyphenylacetate permease	hpaX	NA	2
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_000796027.1	CDS	NA	49748	51694	+	PF02518;PF17149	ATP-binding protein	PF02518;PF17149	NA	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_000362847.1	CDS	NA	51752	53293	-	PF11849	DUF3369 domain-containing protein	PF11849;PF13487	NA	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_000717521.1	CDS	NA	53489	54016	-	PF01467	nicotinate-nicotinamide nucleotide adenylyltransferase	PF01467	NA	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_000400326.1	CDS	nadE	54119	54949	+	PF02540	ammonia-dependent NAD(+) synthetase	nadE	NA	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_000967517.1	CDS	NA	55200	56528	+	PF03605	anaerobic C4-dicarboxylate transporter	PF03605	NA	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_000503164.1	CDS	tnpA	56699	57136	+	PF01797	IS200/IS605-like element IS1004 family transposase	tnpA	NA	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_000507089.1	CDS	NA	57340	58734	+	PF00270;PF00271	SngC	SngC	DMS_other	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_000416723.1	CDS	NA	58779	59660	-	NA	hypothetical protein	hypothetical protein	NA	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	VCHE45_RS05340	CDS	NA	59886	61100	-	NA	IS3 family transposase	IS3 family transposase	NA	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_002024142.1	CDS	NA	61121	62176	-	PF00145	DNA cytosine methyltransferase	PF00145	NA	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_001287339.1	CDS	NA	62562	63098	-	PF18735	HEPN domain-containing protein	PF18735	NA	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_001143848.1	CDS	NA	63487	64911	-	PF13519	VWA domain-containing protein	PF13519	NA	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_001101426.1	CDS	NA	64902	66515	-	PF17868;PF20030	AAA family ATPase	PF17868;PF20030	NA	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_000971846.1	CDS	NA	66564	67193	-	NA	hypothetical protein	hypothetical protein	NA	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_000540209.1	CDS	NA	67193	68284	-	PF00753	ComEC/Rec2 family competence protein	PF00753	NA	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_002024145.1	CDS	NA	68538	74852	-	PF00270;PF00271;PF09369	DruE3	DruE3	druantia_type_III	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_002024147.1	CDS	NA	74849	78157	-	NA	DruH3	DruH3	druantia_type_III	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_001176898.1	CDS	NA	78477	79133	-	NA	hypothetical protein	hypothetical protein	NA	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_001012094.1	CDS	NA	79185	80393	-	PF01420	Specificity_I	Specificity_I	RM_type_I	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_000633073.1	CDS	NA	80390	81919	-	PF02384;PF12161	MTase_I	MTase_I	RM_type_I	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_000858441.1	CDS	NA	82085	85534	-	PF00271;PF04313;PF04851;PF08463;PF13643	REase_I	REase_I	RM_type_I	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_000212429.1	CDS	NA	85597	87081	-	PF00158	RtcR_PspF2--CARF_AAA_HTH	RtcR_PspF2--CARF_AAA_HTH	cas_type_other	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_000479715.1	CDS	NA	87271	88455	+	PF06527;PF03966;COG1996	TniQ_IF	TniQ_IF	cas_type_I-F3	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_001194012.1	CDS	NA	88456	90378	+	PF09614	Cas85f	Cas85f	cas_type_I-F3	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_000775488.1	CDS	csy3	90350	91408	+	PF09615	Cas7f	Cas7f	cas_type_I-F3	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_000872476.1	CDS	cas6f	91411	92010	+	PF09618	Cas6f	Cas6f	cas_type_I-F3	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_000653718.1	CDS	NA	92506	92712	-	K15546;TIGR02612;COG3620	mobile mystery protein A	PF01381	NA	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_001034738.1	CDS	NA	92806	93354	+	NA	hypothetical protein	hypothetical protein	plasmid	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_000946254.1	CDS	NA	93348	94730	+	PF04851	DEAD/DEAH box helicase	PF04851	NA	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_002024152.1	CDS	NA	94892	95884	-	PF05621;COG2842;TIGR02928;K02450	TnsC	TnsC	cas_type_I-F3	1
WP_002024145.1	GCF_000279285.1	NZ_ALED01000027.1	WP_001074608.1	CDS	NA	95896	97707	-	NA	TnsB	TnsB	cas_type_I-F3	1
WP_002036795.1	GCF_002837905.2	NZ_PHJS02000036.1	CV956_RS09515	CDS	NA	1	415	-	NA	transposase	transposase	NA	5
WP_002036795.1	GCF_002837905.2	NZ_PHJS02000036.1	WP_225456360.1	CDS	NA	1071	4364	+	NA	DruH3	DruH3	druantia_type_III	5
WP_002036795.1	GCF_002837905.2	NZ_PHJS02000036.1	WP_002036795.1	CDS	NA	4367	10684	+	PF00270;PF00271;PF09369	DruE3	DruE3	druantia_type_III	5
WP_002036795.1	GCF_002837905.2	NZ_PHJS02000036.1	WP_000651609.1	CDS	NA	11041	11559	+	PF00583	GNAT family N-acetyltransferase	PF00583	NA	5
WP_002036795.1	GCF_002837905.2	NZ_PHJS02000036.1	WP_071209585.1	CDS	NA	11596	12480	-	PF00326	alpha/beta hydrolase family protein	PF00326	NA	5
WP_002036795.1	GCF_002837905.2	NZ_PHJS02000036.1	WP_077109008.1	CDS	NA	12607	13449	-	PF00106	SDR family NAD(P)-dependent oxidoreductase	PF00106	NA	5
WP_002036795.1	GCF_002837905.2	NZ_PHJS02000036.1	WP_077109007.1	CDS	NA	13495	14355	-	PF00106	SDR family NAD(P)-dependent oxidoreductase	PF00106	NA	5
WP_002036795.1	GCF_002837905.2	NZ_PHJS02000036.1	WP_074163611.1	CDS	NA	14386	15300	-	PF02129	alpha/beta hydrolase	PF02129	NA	5
WP_002036795.1	GCF_002837905.2	NZ_PHJS02000036.1	WP_024433858.1	CDS	NA	15492	16517	+	PF12625;PF12625;PF01710;K13631;COG2207	Arabinose-binding domain of AraC transcription regulator, N-term;Arabinose-binding domain of AraC transcription regulator, N-term; Transposase	PF12625;PF12833	NA	5
WP_002036795.1	GCF_002837905.2	NZ_PHJS02000036.1	WP_077109006.1	CDS	adeT1	16592	17587	-	PF19582;TIGR00787;COG1638	Solute-binding protein AdeT 1/2	adeT1	NA	5
WP_002036795.1	GCF_002837905.2	NZ_PHJS02000036.1	CV956_RS09565	CDS	NA	17699	17918	-	NA	IS4 family transposase	IS4 family transposase	NA	5
WP_002067675.1	GCF_014531215.1	NZ_JACSTM010000058.1	IAF45_RS08285	CDS	NA	1	538	+	NA	alpha/beta hydrolase	alpha/beta hydrolase	NA	5
WP_002067675.1	GCF_014531215.1	NZ_JACSTM010000058.1	WP_002067683.1	CDS	NA	569	1429	+	PF00106	SDR family NAD(P)-dependent oxidoreductase	PF00106	NA	5
WP_002067675.1	GCF_014531215.1	NZ_JACSTM010000058.1	WP_002067655.1	CDS	NA	1475	2317	+	PF00106	SDR family NAD(P)-dependent oxidoreductase	PF00106	NA	5
WP_002067675.1	GCF_014531215.1	NZ_JACSTM010000058.1	WP_002067654.1	CDS	NA	2412	3311	-	PF00126;PF03466	LysR family transcriptional regulator	PF00126;PF03466	NA	5
WP_002067675.1	GCF_014531215.1	NZ_JACSTM010000058.1	WP_025468033.1	CDS	NA	3422	4345	+	PF00326	alpha/beta hydrolase	PF00326	NA	5
WP_002067675.1	GCF_014531215.1	NZ_JACSTM010000058.1	WP_002067662.1	CDS	NA	4441	5223	-	PF01844	HNH endonuclease	PF01844	NA	5
WP_002067675.1	GCF_014531215.1	NZ_JACSTM010000058.1	WP_002067675.1	CDS	NA	5556	11879	-	PF00270;PF00271;PF09369	DruE3	DruE3	druantia_type_III	5
WP_002067675.1	GCF_014531215.1	NZ_JACSTM010000058.1	WP_223151318.1	CDS	NA	11882	15175	-	NA	DruH3	DruH3	druantia_type_III	5
WP_002067675.1	GCF_014531215.1	NZ_JACSTM010000058.1	WP_002067699.1	CDS	NA	15780	16346	-	PF00440	TetR/AcrR family transcriptional regulator	PF00440	NA	5
WP_002132586.1	GCF_900496765.1	NZ_UFPE01000001.1	WP_000355489.1	CDS	NA	26611	27648	-	PF00437	type IV pilus twitching motility protein PilT	PF00437	NA	5
WP_002132586.1	GCF_900496765.1	NZ_UFPE01000001.1	WP_114259160.1	CDS	NA	27775	28467	+	PF01168;K06997;TIGR00044;COG0325	pyridoxal phosphate enzyme, YggS family	PF01168	NA	5
WP_002132586.1	GCF_900496765.1	NZ_UFPE01000001.1	WP_002132603.1	CDS	NA	28669	32265	-	PF13476;PF13558	AAA family ATPase	PF13476;PF13558	NA	5
WP_002132586.1	GCF_900496765.1	NZ_UFPE01000001.1	WP_002132634.1	CDS	NA	32275	33543	-	PF00149;PF12320	exonuclease SbcCD subunit D	PF00149;PF12320	NA	5
WP_002132586.1	GCF_900496765.1	NZ_UFPE01000001.1	WP_213070038.1	CDS	NA	33707	34180	+	PF02566;TIGR03563;COG1764;K04063	peroxiredoxin, SACOL1771 subfamily	PF02566	NA	5
